"Gene.names","mIMCD_1","mIMCD_2","mIMCD_3","mIMCD_4"
"GM10300",0.256088399191394,0,0.747987740753197,0.574294988308023
"PLA2G4D",0,0,0,0
"TMEM200B",0.768265197574181,0.281242561134258,0.997316987670929,0
"GM12966",4.0974143870623,1.96869792793981,4.23859719760145,4.02006491815616
"RMDN3",409.539128870869,450.935885245835,430.888311230756,421.073085427443
"RBM44",0,0,0,0.287147494154012
"FRYL",1181.84796226828,1170.25029687965,1215.97873721778,1099.48775511571
"TMEM35B",38.920314909108,33.749107336111,34.1581068277293,40.7749441698696
"DGKD",1613.61300330497,1552.74018002224,1613.65888605156,1664.30687611665
"CEACAM20",0,0,0,0
"RPL7A-PS8",0,0,0,0
"RBM47",653.025417938054,674.700904161085,642.272140060078,657.567761612686
"BC016548",0,0,0.249329246917732,0
"PSG21",0,0,0,0
"PSG27",0,0,0,0
"PSG25",0,0,0,0
"PSG26",0,0,0,0
"PNMA8B",4.35350278625369,2.81242561134258,6.48256041986104,4.30721241231017
"CITED4",1.02435359676557,0.562485122268516,0.498658493835464,0.574294988308023
"ZMYND12",1.53653039514836,0.281242561134258,0.498658493835464,0.574294988308023
"BICRA",159.543072696238,156.933349112916,179.018399286932,163.674071667787
"SULT2A6",0,0,0,0
"SULT2A2",0,0,0,0
"ZSWIM9",99.8744756846435,103.216019936273,105.216942199283,100.788770448058
"VMN1R87",0,0,0,0
"VMN1R86",0,0,0,0
"VMN1R85",0,0,0,0
"OR13P5",0,0,0,0
"OR13P8",0,0,0,0
"ZSCAN18",13.0605083587611,17.1557962291897,12.4664623458866,17.2288496492407
"ZSCAN4F",0.896309397169878,0,0.847719439520289,1.93824558553958
"GM13015",0,0,0,0
"AURKC",0,0,0.498658493835464,0
"VMN2R34",0,0,0,0
"VMN2R42",0,0,0,0
"VMN2R30",0,0,0,0
"OR12E9",0,0,0,0
"OR12E14",0,0,0,0
"OR10AG54",0,0,0,0
"OR10AG53",0,0,0,0
"OR10AG52",0,0,0,0
"GM1673",138.031647164161,125.434182265879,117.434075298252,122.037685015455
"ZFP804A",0,0,0,0
"TRABD2B",16.6457459474406,13.7808854955786,22.1903029756782,10.3373097895444
"SKINT3",0,0,0,0
"CRYGE",0,0,0,0
"CCNYL1",315.46505542791,294.072846773203,281.599931346294,305.174613837
"LILRA5",0,0,0,0
"OR8H10",0,0,0,0
"LDLRAD1",0.256088399191394,0.281242561134258,0,0
"GAD1",0,0,0,0
"CCDC173",37.6449946811349,39.3739585587961,40.3913380006726,35.8934367692514
"PRAMEL19",0,0,0.249329246917732,0
