"Gene.names","mIMCD_1","mIMCD_2","mIMCD_3","mIMCD_4"
"SPI1",8.71,10.69,7.23,7.47
"SF3A1",1497.35,1490.3,1504.45,1479.96
"STAT6",1154.96,1221.44,1190.05,1180.75
"CLGN",1.28,0.28,1.25,0.29
"NAPSA",8.45,8.16,6.48,5.17
"VRK3",357.24,342.55,357.29,376.74
"SMG9",261.72,255.37,250.08,242.93
"PAXIP1",1219.24,1311.15,1313.97,1303.65
"RMND5A",1987.76,2069.95,2090.13,1976.15
"MOV10",496.04,527.89,518.6,501.65
"PPM1J",139.31,140.34,135.39,146.73
"RHOC",1951.14,1823.58,1857,1896.03
"PRR27",0,0,0,0
"TEAD3",622.04,638.7,653.74,623.68
"PPARD",340.6,345.37,343.83,351.47
"DEF6",6.4,6.75,9.23,8.33
"PEG3",1183.13,1216.66,1297.51,1144
"ZIM1",0,0,0,0
"METRN",340.3,353.65,350.83,370.19
"LMF1",281.44,274.49,294.71,279.39
"CIAO3",390.32,377.19,363.83,387.55
"ANGPTL4",38.67,27.28,22.44,27.28
"DBF4",1680.2,1746.24,1743.56,1726.04
"DAXX",595.15,583.3,602.63,566.54
"CD320",232.27,211.21,181.26,230.29
"IPO4",812.57,869.03,884.82,806.42
"TM9SF1",1070.19,1097.13,1076.9,1114.88
"REC8",0,0,0,0
"IRF9",233.81,241.31,232.37,233.74
"GMPR2",260.19,269.99,258.31,279.39
"MDP1",272.73,269.43,258.06,273.08
"DHRS1",409.49,417.93,424.11,464.32
"NCAN",0,0,0,0
"TMEM161A",629.47,643.48,617.84,628.57
"ARMC6",176.17,186.38,161.83,185.21
"BORCS8",184.9,220.49,205.7,218.52
"SLC25A42",68.89,73.12,67.07,65.18
"SNX9",863.53,887.6,913.29,923.75
"RANBP3",1163.67,1190.78,1196.03,1261.44
"NDUFA11",598.73,608.61,599.14,603.01
"BMP8B",0,0,0,0.29
"NR2F6",2203.54,2157.62,2097.55,2245.07
"USE1",429.97,401.9,379.48,428.14
"OCEL1",422.13,447.53,431.39,424.83
"DYRK1B",154.17,167.06,169.54,171.71
"BRAF",334.45,327.93,353.8,310.12
"NDUFB2",466.34,436.77,366.02,427.85
"HLTF",562.37,612.83,611.6,578.89
"PRPF6",1105.02,1114.85,1105.53,1080.82
"RGS19",206.41,216.28,188.24,203.01
"RGS20",0,0,0.5,0.29
"ABHD3",14.85,13.22,10.22,15.22
"SNRPD1",1077.36,1123.56,1067.88,1094.89
"TCHP",327.79,346.21,353.3,347.74
"TIAM1",750.6,751.76,754.47,746.3
"TSC2",1167.44,1188.24,1205,1172.77
"RPL3L",0,0,0,0
"SLC9A3R2",567.24,584.7,610.61,631.15
"PUF60",3307.13,3356.07,3311.09,3395.81
"GOLGA2",1157.26,1167.72,1194.29,1132.8
"UCK1",827.42,827.7,778.16,855.99
"SCIN",2552.43,2342.75,2526.95,2434.72
"IKZF4",14.6,9,11.47,10.05
"MIEN1",599.76,524.24,495.67,569.99
"PON1",0.26,0.56,0.25,0.29
"AXL",587.98,573.45,604.87,641.49
"TGFB1",819.23,878.6,865.42,863.74
"CCDC97",462.75,473.05,451.54,481.26
"ZFP40",74.52,79.87,63.33,72.94
"AKAP8L",336.24,345.08,332.85,341.71
"SHH",0.26,0.28,0,0
"PDCD2L",246.87,245.81,200.46,220.82
"GTF2F1",994.14,999.82,1003.3,1041.48
"CLPP",585.42,548.42,498.91,541.85
"ALKBH7",222.03,208.4,176.77,208.18
"PSPN",0.26,0.84,0.25,0
"DENND1C",15.11,16.59,22.94,19.24
"MED6",341.11,353.52,334.6,352.33
"PRKD1",0,0,0,0
"LCP2",0,0,0,0
"CSE1L",2040,2082.6,2087.14,2028.7
"NAA20",452,475.02,468.49,463.46
"PRKRA",229.71,244.68,220.66,240.34
"FKBP7",25.35,22.22,22.94,29.58
"PLEKHA3",392.07,370.96,368.51,378.75
"YKT6",1559.32,1503.24,1489.74,1573.28
"BAZ1B",5311.53,5365.83,5480.51,5189.62
"PEX6",463.78,430.3,417.13,431.87
"MRPL2",919.87,871.57,824.03,912.55
"MEA1",575.94,566.7,529.82,554.77
"GNMT",0.26,1.12,0.25,0
"GRIN2D",24.07,17.16,21.19,22.68
"KDELR1",716.79,717.17,742,753.48
"TMEM143",115.5,137.25,135.14,135.25
"PDXK-PS",0.77,0.56,0.25,1.44
"GGCT",39.69,47.81,35.9,46.81
"JAG2",879.41,853.29,903.82,897.62
"BTBD6",331.38,368.43,345.82,331.94
"NUDT14",429.46,443.24,426.35,434.45
"EPDR1",123.69,128.25,131.4,126.63
"FLII",1469.95,1475.4,1461.57,1482.83
"TOP3A",363.9,369.83,348.81,380.18
"ATG4D",460.99,473.54,469.15,442.82
