"Gene.names","HK2_01","HK2_02"
"araf",77.46,93.94
"arap1",16.7,10.67
"arap2",1.09,3.95
"arap3",1.49,1.66
"arc",0.11,0.25
"arcn1",94.12,68.99
"areg",30.05,60.88
"arel1",12.12,16.79
"arf1",828.04,866.43
"arf3",53.09,57.32
"arf4",476.83,441.48
"arf5",270.4,371.4
"arf6",99.23,54.39
"arfgap1",53.07,72.1
"arfgap2",31.98,38.62
"arfgap3",94.27,72.77
"arfgef1",9.27,22.48
"arfgef2",5.18,7.46
"arfgef3",0.99,0.36
"arfip1",16.34,16.33
"arfip2",39.57,45.66
"arfrp1",59.22,87.69
"arg1",0,0
"arg2",63.62,25.87
"arglu1",24.02,36.63
"arhgap1",30.69,47.58
"arhgap10",6.67,9.32
"arhgap12",12.84,12.88
"arhgap15",0,0.09
"arhgap17",22.38,8.94
"arhgap18",2.34,2.17
"arhgap19",2.5,1.08
"arhgap20",0,0.01
"arhgap21",4.03,7.23
"arhgap22",93.26,70.05
"arhgap24",3.8,7.45
"arhgap25",0.11,0.07
"arhgap28",0.53,0.98
"arhgap29",58.44,40.76
"arhgap30",0.15,0.66
"arhgap31",1.69,2.32
"arhgap32",1.47,3.87
"arhgap33",1.05,1.25
"arhgap35",3.86,5.28
"arhgap36",0,0
"arhgap39",0.52,1.62
"arhgap4",35.09,60.01
"arhgap40",23.69,17.74
"arhgap42",1.16,4.25
"arhgap44",0.57,1.15
"arhgap5",30.02,38.5
"arhgap6",1.09,2.37
"arhgap8",2.87,11.89
"arhgap9",0.2,0.51
"arhgdia",107.58,93.72
"arhgdib",2.23,2.11
"arhgdig",0,0.19
"arhgef1",31.11,37.55
"arhgef10",2.48,3.59
"arhgef10l",13.75,18
"arhgef11",1.72,2.9
"arhgef12",7.59,14.5
"arhgef15",0,0.06
"arhgef16",29.76,26.19
"arhgef17",3.5,2.75
"arhgef18",4.14,8.47
"arhgef19",9.69,11.14
"arhgef2",6.72,8.48
"arhgef25",0.21,0.16
"arhgef28",14,18.07
"arhgef3",8.19,13.65
"arhgef33",5.62,7.73
"arhgef37",0.92,1.78
"arhgef38",0.16,0.57
"arhgef39",9.25,9.42
"arhgef4",2.77,6.79
"arhgef40",10.88,3.55
"arhgef5",2.92,4.84
"arhgef6",5.62,3.35
"arhgef7",13,8.94
"arhgef9",5.54,12.65
"arid1a",5.89,5.83
"arid1b",8.94,9.25
"arid2",5.98,4.73
"arid3a",2.5,0.8
"arid3b",4.13,5.81
"arid3c",0,0.03
"arid4a",16.84,22.19
"arid4b",34.92,35.36
"arid5a",11.29,14.76
"arid5b",14.28,19.74
"arih1",17.07,24.59
"arih2",78.13,74.71
"arl1",83.06,91.2
"arl10",1.8,1.72
