"Gene.names","X3d_wt_24h_1","X3d_wt_24h_2","X3d_wt_24h_3","X3d_wt_24h_4","X3d_wt_72h_1","X3d_wt_72h_2","X3d_wt_72h_3","X3d_wt_72h_4","X3d_wt_7d_1","X3d_wt_7d_2","X3d_wt_7d_3","X3d_wt_7d_4"
"IGHD6-1",0,0,0,0,0,0,0,0,0,0,0,0
"OR6C6C",0,0,0,0,0,0,0,0,0,0,0,0
"GM21092",723.135057400935,1174.56894025216,1164.8720062653,1050.79837339965,1648.09850539235,1529.9925255345,1465.80067011437,1786.71668226053,1742.45527264778,1551.44588552828,1144.64926271546,1845.85208872032
"TMEM200C",0,0,0,0,0,0,0,0,0,0,0,0
"GM8366",0,0,0,0,0,0,0,0,0,0,0,0
"GM13043",2.30612393179058,0.940221792535361,2.8410724910991,3.51768031278964,0,0,1.63592364143442,1.69350610617657,0,0,0,0.921062428047409
"GM15260",0,0,0,0,0,0,0,0,0,0,0,0
"GM5885",0,0,0,0,0,0,0,0,0,0,0,0
"H2AL1E",0,0,0,0,0,0,0,0,0,0,0,0
"IGHV1-12",0,0,0,0,0,0,0,0,0,0,0,0
"GM14328",0,0,0,0,0,0,0,0,0,0,0,0
"ASTX1A",0,0,0,0,0,0,0,0,0,0,0,0
"GM7375",0,0,0,0,0,0,0,0,0,0,0,0
"TRAV6D-5",0,0,0,0,0,0,0,0,0,0,0,0
"RPS2-PS6",17.7949153684075,11.0131312632309,0.93626252547584,11.1162559930242,3.79072937773342,6.75164501157434,3.69064373507605,4.12876788685849,4.05299196058115,5.64244067478899,8.3339481314589,4.0526746834086
"IGHV5-12",0,0,0,0,0,0,0,0,0,0,0,0
"VMN1R72",0,0,0,0,0,0,0,0,0,0,0,0
"ZFP748",82.9395449152753,98.4098809520345,108.154464149795,92.6891061375494,122.503373130379,114.10312670454,97.1738643012045,138.867500706479,138.254688229999,145.782377974583,99.8495606427524,138.77340582581
"GM21914",0,0,0,0,0,0,0,0,0,0,0,0
