"Gene.names","Podo","PT.A","PT.B","PT.C","DL","tAL","TAL","DCT","CNT","PC","IC.PC","IC.A","IC.B","vSMC","Mono","Macro","NKcell","Tcell","Bcell","AVR","AEA.DVR","GC","Peri","Mesangial"
"HKDC1",0,5.5111657499761,31.5854972031042,7.8172025359005,4.40694299178546,24.1530805588523,6.23831485648445,6.19772178633492,21.4735919247447,15.7202384445767,10.0140530544531,1.31951950357037,4.34552107143168,1.17930925498317,1.69835514304396,0,0,2.5931390726416,0,1.49853986022369,0.467166160725715,0.712970792438517,0,0
"RP11-227H15.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HK1",0,0.512666581393125,6.31709944062084,15.634405071801,24.9726769534509,24.1530805588523,19.7546637122007,25.8238407763955,14.8093737412032,30.3924609928483,14.2624391987665,10.0613362147241,21.7276053571584,24.7654943546466,35.6654580039232,14.4984369304185,18.0550226816222,12.965695363208,0,33.7171468550331,27.0956373220914,35.6485396219258,33.1951781632634,47.0976097963028
"TACR2",0,0.256333290696563,0,0,0,0.416432423428488,0,0,0,0,0.910368459495735,0.659759751785186,0,1.17930925498317,1.69835514304396,0,0,0,0,0,1.40149848217714,0,0,0
"TSPAN15",39.7440483287628,0.768999872089688,13.8976187693659,5.58371609707179,33.7865629370218,40.8103774959918,13.9322365128153,1.72158938509303,11.8474989929626,46.1126994374251,12.7451584329403,9.89639627677779,8.69104214286335,3.53792776494951,0,6.21361582732224,0,0,0,58.81768951378,25.6941388399143,105.519677280901,33.1951781632634,15.6992032654343
"NEUROG3",0,0,0,0,0,0,0,0,0,0,0,0,0,1.17930925498317,0,0.690401758591359,0,0,0,0,0,0,0,0
"RP11-343J3.2",0,0.128166645348281,0.631709944062084,0,0,0,0,0,0,0,0,0,0,0,0,2.07120527577408,0,0,0,0,0,0,0,0
"C10orf35",19.8720241643814,4.99849916858297,13.8976187693659,12.2841754135579,10.2828669808327,6.66291877485581,3.95093274244015,6.88635754037213,5.92374949648129,8.38412717044092,8.49677228862686,6.26771764195927,0,1.17930925498317,0,0,0,10.3725562905664,0,0,0,2.13891237731555,2.37108415451881,7.84960163271714
"RP11-242G20.1",0,0.512666581393125,0,0,0,0,0,0,0,1.04801589630512,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COL13A1",0,0,0,0,1.46898099726182,0,0,0,0,0,0,0.164939937946297,0,9.43447403986537,0,0.690401758591359,4.51375567040556,0,0,5.61952447583885,1.40149848217714,0,2.37108415451881,7.84960163271714
"RP11-262I2.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
